"id","trial_no","item_type","ori_source","source","moni_response","assign","rt_moni","word","study_pos","age","gender","occupation","strategy1","strategy2"
101,148,"distractor","nosou","nosou","N","N",0.779677600000014,"Diamant",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,149,"distractor","nosou","nosou","N","N",0.774547499999699,"Metall",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,150,"distractor","nosou","nosou","N","N",0.764603200000238,"Körper",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,151,"distractor","nosou","nosou","N","N",0.846213600000283,"Blase",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,152,"distractor","nosou","nosou","N","N",0.797917200000029,"Boden",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,153,"F item","right","bottom","N","N",0.876849499999935,"Pflanze",39,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,154,"distractor","nosou","nosou","N","N",0.878335999999763,"Bettler",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,155,"distractor","nosou","nosou","N","N",0.80547420000039,"Schädel",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,156,"R item","right","bottom","N","N",1.2846141,"Pianist",25,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,157,"distractor","nosou","nosou","N","N",0.724807699999928,"Schmutz",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,158,"distractor","nosou","nosou","N","N",0.622610100000202,"Buch",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,159,"distractor","nosou","nosou","N","N",0.718661400000201,"Berg",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
101,160,"distractor","nosou","nosou","N","N",0.741410599999654,"Nonne",-95,24,"w","stud_non_psy",1,"ich habe die EEE wörter in meinem Kopf wiederholt"
102,1,"distractor","nosou","nosou","N","N",2.26933759999974,"Schaum",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,2,"distractor","nosou","nosou","N","N",1.09928910000008,"Nässe",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,3,"distractor","nosou","nosou","R","B",1.02081590000034,"Blut",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,4,"distractor","nosou","nosou","N","N",1.17198869999993,"Diener",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,5,"distractor","nosou","nosou","L","T",0.884599399999843,"Getränk",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,6,"distractor","nosou","nosou","R","B",1.02059880000024,"Luft",-95,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,7,"F item","right","bottom","N","N",0.995791599999848,"Flasche",8,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,8,"R item","right","bottom","N","N",0.996257000000242,"Auto",68,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,9,"F item","right","bottom","R","B",1.21969460000037,"Puppe",31,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
102,10,"R item","right","bottom","L","T",1.18845809999993,"Wald",2,23,"w","stud_non_psy",1,"EEE Wörter ständig im Kopf wiederholen, VVV Wörter nicht"
